dataset,n_samples,n_features,k,num_centers,cost,selection_time_s,cost_time_s,centers_idx_sample
breast_cancer,569,30,1,1,21.55041778654977,0.00010839995229616761,0.0018567999941296875,484
breast_cancer,569,30,3,3,15.730870383438718,0.00020409998251125216,0.0026289999950677156,"484,461,152"
breast_cancer,569,30,5,5,12.946339360252384,0.00034199998481199145,0.0020623999880626798,"484,461,152,78,213"
breast_cancer,569,30,10,10,9.720782086612946,0.0004366000066511333,0.0035377999884076416,"484,461,152,78,213,9,265,192,71,68"
digits,1797,64,1,1,49.76711490019095,0.0006698999786749482,0.000686099985614419,1528
digits,1797,64,3,3,45.488486498120324,0.00045200000749900937,0.0019433999550528824,"1528,988,502"
digits,1797,64,5,5,32.44936438043483,0.00124299997696653,0.0027472000219859183,"1528,988,502,1264,1070"
digits,1797,64,10,10,24.11543715490146,0.00135570002021268,0.00537819997407496,"1528,988,502,1264,1070,87,873,1271,673,757"
iris,150,4,1,1,4.213265095097203,5.329999839887023e-05,0.0007966000121086836,127
iris,150,4,3,3,2.9907222986451303,9.159999899566174e-05,0.0008232999825850129,"127,15,41"
iris,150,4,5,5,2.516291910898661,0.0002245999639853835,0.0007269000052474439,"127,15,41,131,24"
iris,150,4,10,10,1.3920879452776826,0.00018640002235770226,0.0008286000229418278,"127,15,41,131,24,118,62,106,125,108"
olivetti_faces,400,4096,1,1,135.8953094482422,0.003737300052307546,0.004936799989081919,340
olivetti_faces,400,4096,3,3,116.94941711425781,0.010856600012630224,0.01363509998191148,"340,78,79"
olivetti_faces,400,4096,5,5,103.36270141601562,0.018433400022331625,0.019231599988415837,"340,78,79,354,232"
olivetti_faces,400,4096,10,10,91.13055419921875,0.035922400013078004,0.0388130999635905,"340,78,79,354,232,276,369,336,14,197"
toy_blobs,300,2,1,1,2.993192357826237,0.00010040000779554248,0.001295299967750907,255
toy_blobs,300,2,3,3,1.4270504100431942,0.0001580000389367342,0.0010842999909073114,"255,253,71"
toy_blobs,300,2,5,5,0.5919498075349723,0.00011820002691820264,0.0012573999701999128,"255,253,71,278,188"
toy_blobs,300,2,10,10,0.34211130664144945,0.00021739996736869216,0.0010683999862521887,"255,253,71,278,188,55,160,195,142,229"
wine,178,13,1,1,8.265969896079019,5.229999078437686e-05,0.0006997000309638679,151
wine,178,13,3,3,7.160794668726917,0.0001824999926611781,0.0010937000042758882,"151,115,14"
wine,178,13,5,5,6.704069792225807,0.00015419995179399848,0.0014658000436611474,"151,115,14,121,59"
wine,178,13,10,10,5.005136270010268,0.0002465000143274665,0.0016277999966405332,"151,115,14,121,59,69,123,74,68,137"
